RA,DEC,obs_time
0.008640107017893596,0.01724239856866065,2022-05-12 20:44:58.221
0.008650288105196895,0.01723803524553066,2022-05-12 20:49:58.221
0.00866119641302186,0.017233671922400676,2022-05-12 20:54:58.221
0.00867137750032516,0.01722930859927069,2022-05-12 20:59:58.221
0.008682285808150125,0.017224945276140703,2022-05-12 21:04:58.221
0.008692466895453426,0.017220581953010718,2022-05-12 21:09:58.221
0.00870337520327839,0.017215733816199622,2022-05-12 21:14:58.221
0.008714283511103356,0.017211370493069634,2022-05-12 21:19:58.221
0.008724464598406654,0.01720700716993965,2022-05-12 21:24:58.221
0.00873537290623162,0.017202643846809664,2022-05-12 21:29:58.221
0.008745553993534919,0.01719828052367968,2022-05-12 21:34:58.221
0.008756462301359885,0.017193432386868584,2022-05-12 21:39:58.221
0.008767370609184848,0.0171890690637386,2022-05-12 21:44:58.221
0.00877755169648815,0.017184705740608614,2022-05-12 21:49:58.221
0.008788460004313114,0.017180342417478626,2022-05-12 21:54:58.221
0.008798641091616415,0.01717597909434864,2022-05-12 21:59:58.221
0.008809549399441379,0.017171130957537542,2022-05-12 22:04:58.221
0.008819730486744679,0.017166767634407557,2022-05-12 22:09:58.221
0.008830638794569643,0.017162404311277572,2022-05-12 22:14:58.221
0.008841547102394608,0.017158040988147587,2022-05-12 22:19:58.221
0.008851728189697908,0.017153677665017603,2022-05-12 22:24:58.221
0.008862636497522872,0.017148829528206507,2022-05-12 22:29:58.221
0.008872817584826173,0.017144466205076522,2022-05-12 22:34:58.221
0.008883725892651137,0.017140102881946534,2022-05-12 22:39:58.221
0.008893906979954437,0.01713573955881655,2022-05-12 22:44:58.221
0.008904815287779403,0.017131376235686564,2022-05-12 22:49:58.221
0.008915723595604367,0.01712652809887547,2022-05-12 22:54:58.221
0.008925904682907666,0.017122164775745484,2022-05-12 22:59:58.221
0.00893681299073263,0.017117801452615496,2022-05-12 23:04:58.221
0.008946994078035932,0.01711343812948551,2022-05-12 23:09:58.221
0.008957902385860896,0.017109074806355526,2022-05-12 23:14:58.221
0.008968083473164197,0.01710471148322554,2022-05-12 23:19:58.221
0.008978991780989161,0.017099863346414446,2022-05-12 23:24:58.221
0.008989900088814127,0.017095500023284457,2022-05-12 23:29:58.221
0.009000081176117426,0.017091136700154472,2022-05-12 23:34:58.221
0.009010989483942392,0.017086773377024488,2022-05-12 23:39:58.221
0.00902117057124569,0.0170824100538945,2022-05-12 23:44:58.221
0.009032078879070655,0.017077561917083404,2022-05-12 23:49:58.221
0.00904298718689562,0.01707319859395342,2022-05-12 23:54:58.221
0.00905316827419892,0.017068835270823434,2022-05-12 23:59:58.221
0.009064076582023885,0.01706447194769345,2022-05-13 00:04:58.221
0.009074257669327186,0.01706010862456346,2022-05-13 00:09:58.221
0.00908516597715215,0.017055260487752365,2022-05-13 00:14:58.221
0.009095347064455452,0.01705089716462238,2022-05-13 00:19:58.221
0.009106255372280415,0.017046533841492396,2022-05-13 00:24:58.221
0.00911716368010538,0.017042170518362407,2022-05-13 00:29:58.221
0.009127344767408679,0.017037807195232423,2022-05-13 00:34:58.221
0.009138253075233643,0.017033443872102438,2022-05-13 00:39:58.221
0.009148434162536944,0.017028595735291342,2022-05-13 00:44:58.221
0.009159342470361908,0.017024232412161357,2022-05-13 00:49:58.221
0.009170250778186872,0.01701986908903137,2022-05-13 00:54:58.221
0.009180431865490174,0.017015505765901384,2022-05-13 00:59:58.221
0.009191340173315138,0.0170111424427714,2022-05-13 01:04:58.221
0.009201521260618437,0.017006294305960304,2022-05-13 01:09:58.221
0.009212429568443403,0.01700193098283032,2022-05-13 01:14:58.221
0.009223337876268368,0.01699756765970033,2022-05-13 01:19:58.221
0.009233518963571666,0.016993204336570346,2022-05-13 01:24:58.221
0.009244427271396632,0.01698884101344036,2022-05-13 01:29:58.221
0.009254608358699932,0.016984477690310373,2022-05-13 01:34:58.221
0.009265516666524897,0.016979629553499277,2022-05-13 01:39:58.221
0.009276424974349861,0.016975266230369292,2022-05-13 01:44:58.221
0.009286606061653163,0.016970902907239307,2022-05-13 01:49:58.221
0.009297514369478127,0.016966539584109323,2022-05-13 01:54:58.221
0.009307695456781428,0.016962176260979334,2022-05-13 01:59:58.221
0.009318603764606392,0.01695732812416824,2022-05-13 02:04:58.221
0.009329512072431356,0.016952964801038254,2022-05-13 02:09:58.221
0.009339693159734656,0.01694860147790827,2022-05-13 02:14:58.221
0.00935060146755962,0.016944238154778284,2022-05-13 02:19:58.221
0.009361509775384585,0.016939874831648296,2022-05-13 02:24:58.221
0.009371690862687885,0.01693551150851831,2022-05-13 02:29:58.221
0.009382599170512849,0.016930663371707216,2022-05-13 02:34:58.221
0.009393507478337814,0.01692630004857723,2022-05-13 02:39:58.221
0.009403688565641114,0.016921936725447246,2022-05-13 02:44:58.221
0.00941459687346608,0.016917573402317258,2022-05-13 02:49:58.221
